LSOACD,latitude,longitude,lsoa11cd
95BB19S2,54.60414385823743,-5.67030559938968,95BB19S2
95BB19S3,54.597676313291046,-5.670948451183953,95BB19S3
95BB20S1,54.379830023472856,-5.512192277438138,95BB20S1
95BB20S2,54.378980604559,-5.542346753440739,95BB20S2
95BB21S1,54.46489832072688,-5.4520305990998255,95BB21S1
95BB21S2,54.4693190171572,-5.476895891566453,95BB21S2
95BB22S1,54.56789218437171,-5.710216333801247,95BB22S1
95BB22S2,54.5818621883635,-5.703647977614477,95BB22S2
95BB23S1,54.60130939801011,-5.688234918177981,95BB23S1
95BB23S2,54.61278417628944,-5.683631963011374,95BB23S2
95CC01W1,54.361794708560055,-6.664082557647457,95CC01W1
95CC02W1,54.37989635190098,-6.73195411691911,95CC02W1
95CC03W1,54.3484896173196,-6.667139532053515,95CC03W1
95CC04W1,54.23903289573208,-6.648918370740165,95CC04W1
95CC05W1,54.42930067884555,-6.654094098919837,95CC05W1
95CC06S1,54.3348624833804,-6.641919299283082,95CC06S1
95CC06S2,54.33887394019052,-6.631677027545351,95CC06S2
95CC07W1,54.23729885782711,-6.752590502034621,95CC07W1
95CC08W1,54.33968685204494,-6.663174482699383,95CC08W1
95CC09S1,54.33030406357899,-6.535688640133844,95CC09S1
95CC09S2,54.35187976980284,-6.508952835362771,95CC09S2
95CC10W1,54.38926467540049,-6.56306224324673,95CC10W1
95CC11W1,54.24958436744628,-6.704873310563019,95CC11W1
95CC12W1,54.28518123654808,-6.589406735372825,95CC12W1
95CC13W1,54.31152290228381,-6.805852647180011,95CC13W1
95CC14W1,54.36488060705302,-6.459742088150458,95CC14W1
95CC15W1,54.43094453614773,-6.568658020090164,95CC15W1
95CC16W1,54.27358315264786,-6.510933810407866,95CC16W1
95CC17W1,54.31412665795419,-6.704652862720425,95CC17W1
95CC18W1,54.36073444637132,-6.6364946253654615,95CC18W1
95CC19W1,54.29916259712996,-6.421005364838887,95CC19W1
95CC20S1,54.37262689341957,-6.542902169131627,95CC20S1
95CC20S2,54.37354400671197,-6.552540142626967,95CC20S2
95CC21W1,54.36029853092485,-6.403558949175952,95CC21W1
95CC22W1,54.34832140439247,-6.640622678794117,95CC22W1
95DD01W1,54.86762337119748,-6.30070902634689,95DD01W1
95DD02S1,54.85315764407885,-6.370741452759546,95DD02S1
95DD02S2,54.85143195029546,-6.36027196108933,95DD02S2
95DD03W1,54.849275176024285,-6.299861938727768,95DD03W1
95DD04W1,54.850050979234005,-6.266427769529605,95DD04W1
95DD05W1,54.86005146009848,-6.254928315272268,95DD05W1
95DD06W1,54.87568854259992,-6.294545323919166,95DD06W1
95DD07S1,54.88559890484416,-6.235285097227307,95DD07S1
95DD07S2,54.90140031934166,-6.216123362588745,95DD07S2
95DD08W1,54.865029377076944,-6.27093631052235,95DD08W1
95DD09W1,54.92546103226119,-6.310621640928305,95DD09W1
95DD10W1,54.88496640602778,-6.355327063321528,95DD10W1
95DD11W1,54.88202856243653,-6.27382415967495,95DD11W1
95DD12W1,54.9247440483702,-6.3978302656153305,95DD12W1
95DD13W1,54.87364372895097,-6.273235611513695,95DD13W1
95DD14S1,54.87088206787185,-6.326096098314545,95DD14S1
